date,close
2003-06-30,4.4531
2003-07-01,4.5696
2003-07-02,4.6464
2003-07-03,4.6837
2003-07-04,4.7149
2003-07-07,4.9239
2003-07-08,4.9467
2003-07-09,4.9503
2003-07-10,4.8098
2003-07-11,4.793
2003-07-14,4.883
2003-07-15,4.8266
2003-07-16,4.9058
2003-07-17,4.7797
2003-07-18,4.7942
2003-07-21,4.7317
2003-07-22,4.8014
2003-07-23,4.8098
2003-07-24,4.9515
2003-07-25,4.9515
2003-07-28,4.9935
2003-07-29,4.9263
2003-07-30,4.8758
2003-07-31,4.9082
2003-08-01,4.9959
2003-08-04,4.9719
2003-08-05,4.8638
2003-08-06,4.8314
2003-08-07,4.8878
2003-08-08,4.8254
2003-08-11,4.8158
2003-08-12,4.8698
2003-08-13,5.098
2003-08-14,5.08
2003-08-15,5.1304
2003-08-18,5.14
2003-08-19,5.164
2003-08-20,5.1869
2003-08-21,5.2841
2003-08-22,5.2889
2003-08-25,5.3262
2003-08-26,5.2193
2003-08-27,5.2385
2003-08-28,5.2313
2003-08-29,5.3946
2003-09-01,5.4223
2003-09-02,5.4667
2003-09-03,5.4042
2003-09-04,5.3454
2003-09-05,5.4078
2003-09-08,5.5183
2003-09-09,5.4883
2003-09-10,5.4162
2003-09-12,5.4607
2003-09-15,5.4042
2003-09-16,5.4583
2003-09-17,5.4991
2003-09-18,5.4859
2003-09-19,5.5003
2003-09-22,5.4042
2003-09-23,5.3802
2003-09-24,5.3862
2003-09-25,5.3862
2003-09-26,5.3862
2003-09-29,5.3694
2003-09-30,5.3682
2003-10-01,5.3034
2003-10-02,5.4102
2003-10-03,5.4415
2003-10-06,5.5544
2003-10-07,5.558
2003-10-08,5.5243
2003-10-09,5.5411
2003-10-13,5.6672
2003-10-14,5.6456
2003-10-15,5.6504
2003-10-16,5.7285
2003-10-17,5.7393
2003-10-20,5.7645
2003-10-21,5.7405
2003-10-22,5.7405
2003-10-23,5.6564
2003-10-24,5.6384
2003-10-27,5.6444
2003-10-28,5.7465
2003-10-29,5.7645
2003-10-30,5.7837
2003-10-31,5.7645
2003-11-03,5.7645
2003-11-04,5.7645
2003-11-05,5.8174
2003-11-06,5.7165
2003-11-07,5.7381
2003-11-10,5.7057
2003-11-11,5.666
2003-11-12,5.6468
2003-11-13,5.6865
2003-11-14,5.7105
2003-11-17,5.6084
2003-11-18,5.5964
2003-11-19,5.5231
2003-11-20,5.4763
2003-11-21,5.4727
2003-11-24,5.4739
2003-11-25,5.5183
2003-11-26,5.5243
2003-11-27,5.4619
2003-11-28,5.4042
2003-12-01,5.5484
2003-12-02,5.5423
2003-12-03,5.5327
2003-12-04,5.5484
2003-12-05,5.5568
2003-12-08,5.5604
2003-12-09,5.5243
2003-12-10,5.4931
2003-12-11,5.5003
2003-12-12,5.5363
2003-12-15,5.5784
2003-12-16,5.5459
2003-12-17,5.4403
2003-12-18,5.4523
2003-12-19,5.4223
2003-12-22,5.4979
2003-12-23,5.5003
2003-12-24,5.5123
2003-12-25,5.5015
2003-12-26,5.4943
2003-12-29,5.4547
2003-12-30,5.5123
2003-12-31,5.5147
2004-01-02,5.6805
2004-01-05,5.7405
2004-01-06,5.7405
2004-01-07,5.7405
2004-01-08,5.7741
2004-01-09,5.8138
2004-01-12,5.8282
2004-01-13,5.8222
2004-01-14,5.8786
2004-01-15,5.8774
2004-01-16,5.8726
2004-01-27,5.8978
2004-01-28,5.8882
2004-01-29,5.8366
2004-01-30,5.827
2004-02-02,5.8005
2004-02-03,5.7237
2004-02-04,5.6985
2004-02-05,5.6985
2004-02-06,5.7537
2004-02-09,5.8246
2004-02-10,5.8294
2004-02-11,5.809
2004-02-12,5.8354
2004-02-13,5.9399
2004-02-16,5.9086
2004-02-17,5.9447
2004-02-18,5.9483
2004-02-19,6.0047
2004-02-20,6.0047
2004-02-23,5.9519
2004-02-24,5.9387
2004-02-25,5.9567
2004-02-26,5.9807
2004-02-27,6.0708
2004-03-01,6.2389
2004-03-02,6.341
2004-03-03,6.329
2004-03-04,6.383
2004-03-05,6.3049
2004-03-08,6.2269
2004-03-09,6.2449
2004-03-10,6.1668
2004-03-11,6.1728
2004-03-12,6.0588
2004-03-15,5.9627
2004-03-16,5.8846
2004-03-17,5.8942
2004-03-18,6.0888
2004-03-19,6.1248
2004-03-22,5.6961
2004-03-23,5.5724
2004-03-24,5.6384
2004-03-25,5.6204
2004-03-26,5.6192
2004-03-29,5.8966
2004-03-30,5.9206
2004-03-31,5.8834
2004-04-01,5.8486
2004-04-02,5.8738
2004-04-05,6.0047
2004-04-06,5.9951
2004-04-07,5.9891
2004-04-08,6.0167
2004-04-09,5.9807
2004-04-12,6.1188
2004-04-13,6.1068
2004-04-14,6.1728
2004-04-15,6.0527
2004-04-16,6.1428
2004-04-19,6.1128
2004-04-20,6.1128
2004-04-21,6.1548
2004-04-22,6.0648
2004-04-23,6.1008
2004-04-26,6.1128
2004-04-27,6.0527
2004-04-28,5.9987
2004-04-29,5.8474
2004-04-30,5.7045
2004-05-03,5.5183
2004-05-04,5.6444
2004-05-05,5.3682
2004-05-06,5.4403
2004-05-07,5.4943
2004-05-10,5.3562
2004-05-11,5.3706
2004-05-12,5.4643
2004-05-13,5.4042
2004-05-14,5.2962
2004-05-17,4.9263
2004-05-18,5.0079
2004-05-19,5.3574
2004-05-20,5.3442
2004-05-21,5.4295
2004-05-24,5.4186
2004-05-25,5.3982
2004-05-26,5.5183
2004-05-27,5.5183
2004-05-28,5.5604
2004-05-31,5.4463
2004-06-01,5.4283
2004-06-02,5.367
2004-06-03,5.2409
2004-06-04,5.1665
2004-06-07,5.4283
2004-06-08,5.4763
2004-06-09,5.4511
2004-06-10,5.3982
2004-06-11,5.2169
2004-06-14,5.068
2004-06-15,5.164
2004-06-16,5.086
2004-06-17,5.1989
2004-06-18,5.116
2004-06-21,5.1064
2004-06-23,5.2721
2004-06-24,5.3274
2004-06-25,5.3322
2004-06-28,5.2505
2004-06-29,5.2601
2004-06-30,5.3742
2004-07-01,5.3934
2004-07-02,5.2745
2004-07-05,5.2121
2004-07-06,5.2601
2004-07-07,5.2721
2004-07-08,5.2625
2004-07-09,5.3262
2004-07-12,5.2889
2004-07-13,5.2481
2004-07-14,5.2025
2004-07-15,5.116
2004-07-16,5.0896
2004-07-19,5.0884
2004-07-20,4.9479
2004-07-21,5.0428
2004-07-22,4.9959
2004-07-23,4.9935
2004-07-26,4.9479
2004-07-27,5.0271
2004-07-28,5.0127
2004-07-29,4.9695
2004-07-30,5.0331
2004-08-02,5.0019
2004-08-03,5.0043
2004-08-04,4.9599
2004-08-05,5.14
2004-08-06,5.0764
2004-08-09,5.0728
2004-08-10,5.0464
2004-08-11,5.0163
2004-08-12,5.0175
2004-08-13,5.0223
2004-08-16,5.0019
2004-08-17,5.0115
2004-08-18,5.1328
2004-08-19,5.3082
2004-08-20,5.3082
2004-08-23,5.3382
2004-08-26,5.5183
2004-08-27,5.4763
2004-08-30,5.4751
2004-08-31,5.4223
2004-09-01,5.5003
2004-09-02,5.4787
2004-09-03,5.385
2004-09-06,5.3958
